source;intermediate;destination;with_ixp;percentage;total_paths;provider;avg_path_length;avg_latency;destination_countries;ids
5416: Batelco; ;8075: Microsoft;0;5.704;561;Microsoft;7.5;('AE', 27.583),('IN', 100.4),('SG', 148.3),('KR', 166.5),('HK', 190.0),('JP', 230.308);('IN', 10),('JP', 9),('AE', 6),('SG', 5),('KR', 1),('HK', 1);[141303, 141313, 141360, 203234, 266812, 330145, 378013, 378020, 378026, 378029, 378038, 446411, 446434, 446452, 446459, 446696, 446725, 619201, 619249, 672839, 672849, 672850, 672852, 672910, 672911, 672913, 672947, 672949, 673003, 673004, 673006, 673008]
5416: Batelco;(39386: Saudi Telecom Company (STC IGW));8075: Microsoft;0;1.07;561;Microsoft;8.0;('AE', 240.5),('SG', 301.6),('IN', 326.0);('SG', 3),('AE', 2),('IN', 1);[141216, 141305, 266745, 378003, 446710, 446719]
5416: Batelco;(31452: ZAIN Bahrain), (59605: Zain Group - Wholesale);8075: Microsoft;0;0.535;561;Microsoft;10.67;('AE', 160.667);('AE', 3);[330157, 330190, 378098]
5416: Batelco; ;8075: Microsoft;1;92.157;561;Microsoft;7.56;('AE', 39.257),('IN', 86.401),('SG', 142.0),('KR', 188.208),('JP', 196.103),('HK', 211.889);('AE', 371),('IN', 81),('SG', 32),('JP', 15),('KR', 13),('HK', 5);[141217, 141302, 141304, 141306, 141307, 141308, 141309, 141311, 141349, 141351, 141352, 141353, 141354, 141355, 141356, 141357, 141358, 141359, 141361, 141362, 141363, 141364, 141366, 141369, 141370, 141373, 141376, 141377, 141378, 141379, 141380, 141381, 141382, 141385, 141386, 141387, 141388, 141392, 141393, 141394, 141397, 141398, 141400, 141401, 141402, 141403, 203175, 203239, 203240, 203242, 203243, 203245, 203246, 203247, 203248, 203249, 203250, 203251, 203252, 203253, 203256, 203258, 203259, 203260, 203261, 203262, 203263, 203264, 203265, 203266, 203267, 203268, 203269, 203270, 203272, 203273, 203274, 203277, 203278, 203279, 203280, 203281, 203283, 203284, 203285, 203286, 203287, 203288, 266744, 266815, 266818, 266819, 266820, 266821, 266822, 266823, 266825, 266826, 266827, 266828, 266875, 266876, 266877, 266878, 266879, 266880, 266881, 266882, 266883, 266884, 266885, 266886, 266887, 266888, 266889, 266890, 266891, 266892, 266893, 266894, 266895, 266896, 266898, 266899, 266900, 266901, 266902, 266903, 266904, 266905, 266906, 266908, 266909, 266910, 266911, 266912, 266913, 266914, 266915, 266916, 329961, 329962, 329963, 330016, 330017, 330020, 330022, 330023, 330024, 330025, 330026, 330028, 330029, 330030, 330032, 330033, 330035, 330036, 330037, 330038, 330039, 330040, 330041, 330042, 330043, 330132, 330133, 330134, 330135, 330136, 330137, 330138, 330139, 330140, 330141, 330142, 330143, 330144, 330147, 330148, 330151, 330152, 330154, 330156, 330158, 330162, 330163, 330164, 330165, 330166, 330167, 330168, 330169, 330170, 330171, 330173, 330175, 330176, 330177, 330178, 330179, 330182, 330183, 330184, 330185, 330186, 330187, 330189, 336658, 336659, 336661, 336662, 377999, 378001, 378004, 378006, 378007, 378008, 378010, 378014, 378015, 378016, 378019, 378023, 378024, 378025, 378027, 378028, 378030, 378033, 378035, 378036, 378039, 378041, 378042, 378043, 378044, 378045, 378046, 378047, 378048, 378050, 378051, 378052, 378053, 378054, 378058, 378059, 378060, 378061, 378062, 378063, 378064, 378065, 378066, 378067, 378068, 378069, 378070, 378073, 378074, 378075, 378077, 378078, 378079, 378080, 378081, 378082, 378083, 378084, 378086, 378087, 378088, 378090, 378093, 378094, 378095, 378096, 378097, 378099, 378100, 378149, 378298, 378299, 378300, 378301, 378302, 378303, 378304, 378305, 378306, 378307, 383848, 446406, 446407, 446409, 446413, 446414, 446415, 446416, 446417, 446420, 446421, 446423, 446424, 446426, 446427, 446429, 446430, 446433, 446435, 446436, 446438, 446439, 446440, 446441, 446442, 446443, 446444, 446445, 446446, 446447, 446448, 446449, 446450, 446451, 446453, 446454, 446455, 446456, 446457, 446460, 446461, 446462, 446463, 446464, 446468, 446469, 446683, 446684, 446685, 446686, 446687, 446688, 446689, 446690, 446691, 446693, 446697, 446698, 446699, 446700, 446701, 446702, 446703, 446705, 446712, 446713, 446714, 446715, 446716, 446721, 446722, 446723, 446724, 446727, 446728, 446729, 446730, 446731, 446732, 446733, 446734, 446735, 446736, 446739, 446740, 446741, 446742, 446743, 515267, 515268, 515273, 515274, 515275, 515276, 515277, 515278, 515280, 515281, 515282, 515284, 515287, 515346, 515347, 515348, 515349, 515350, 515351, 515352, 515353, 515356, 515358, 515361, 515363, 515364, 515365, 515366, 515367, 515371, 515372, 515373, 515374, 515375, 515376, 515378, 515379, 515381, 515382, 515383, 515384, 515385, 515386, 515387, 515388, 515390, 515391, 515392, 515395, 515396, 515397, 515398, 515399, 515400, 515401, 515402, 515403, 515404, 515405, 515406, 515407, 515408, 515409, 515410, 515411, 515413, 515414, 515415, 515416, 515417, 515418, 515419, 515420, 515421, 515422, 515423, 515425, 515426, 515427, 515429, 515430, 515433, 515434, 515435, 515436, 515437, 515439, 515440, 585243, 585244, 606541, 606542, 606543, 606544, 606545, 606546, 606547, 606548, 606549, 606550, 606551, 619197, 619199, 619200, 619203, 619246, 619248, 619250, 619251, 619253, 619255, 619271, 619273, 619274, 619275, 619276, 619277, 619278, 619281, 619283, 673016, 673017, 673018, 673019, 673020, 673021, 673022, 673023, 673027, 673052, 673053, 673054, 673058, 673059, 673061, 673062, 673063]
5416: Batelco;(39273: Kalaam Telecom Bahrain);8075: Microsoft;1;0.535;561;Microsoft;9.0;('AE', 23.5),('IN', 52.5);('AE', 2),('IN', 1);[515357, 515369, 515428]
5416: Batelco;(6453: Tata Communications), (4755: Tata Communications AS4755);14061: DigitalOcean;0;95.882;340;DigitalOcean;9.59;('IN', 227.093);('IN', 326);[141219, 141220, 141221, 141222, 141224, 141225, 141226, 141227, 141228, 141229, 141230, 141231, 141232, 141233, 141234, 141235, 141236, 141237, 141238, 141240, 141242, 141243, 141246, 141249, 141250, 141251, 141252, 141253, 141254, 141255, 141257, 141260, 141261, 141262, 141263, 141264, 203178, 203180, 203182, 203183, 203184, 203186, 203187, 203188, 203191, 203192, 203193, 203194, 203197, 203199, 203200, 203201, 203203, 203205, 203206, 203208, 203209, 203210, 203211, 203214, 203215, 203216, 203217, 203218, 203219, 203220, 203221, 203224, 203229, 203230, 203231, 203232, 203233, 266749, 266751, 266752, 266753, 266754, 266755, 266756, 266758, 266759, 266761, 266764, 266765, 266766, 266767, 266769, 266771, 266773, 266777, 266778, 266779, 266780, 266781, 266782, 266783, 266784, 266787, 266788, 266789, 266790, 266794, 266795, 266796, 266798, 266799, 266800, 266801, 266802, 266804, 266805, 266806, 329827, 329828, 329829, 329830, 329831, 329833, 329837, 329842, 329843, 329846, 329848, 329849, 329850, 329851, 329855, 329856, 329857, 329858, 329859, 329860, 329861, 329863, 329864, 329865, 329867, 329868, 329869, 329871, 329872, 329873, 329874, 329876, 329878, 329879, 329880, 329881, 329882, 329884, 329886, 329888, 329889, 329890, 329891, 329892, 329894, 329895, 329896, 329897, 377928, 377929, 377931, 377932, 377933, 377934, 377936, 377937, 377939, 377940, 377941, 377943, 377945, 377947, 377949, 377950, 377951, 377953, 377956, 377957, 377958, 377959, 377960, 377961, 377962, 377963, 377965, 377968, 377971, 377973, 377974, 377976, 377979, 377980, 377981, 377984, 377985, 377986, 377987, 377988, 377989, 377992, 377994, 377995, 377996, 377997, 446252, 446253, 446254, 446255, 446256, 446257, 446258, 446262, 446263, 446264, 446265, 446266, 446267, 446268, 446269, 446270, 446271, 446272, 446273, 446276, 446277, 446278, 446279, 446280, 446281, 446282, 446283, 446284, 446286, 446287, 446288, 446289, 446291, 446292, 446294, 446295, 446300, 446301, 446302, 446304, 446305, 446306, 446307, 446309, 446311, 446313, 446314, 515161, 515162, 515163, 515164, 515165, 515167, 515168, 515169, 515170, 515172, 515173, 515174, 515175, 515176, 515178, 515179, 515180, 515182, 515183, 515184, 515185, 515186, 515187, 515189, 515190, 515194, 515195, 515197, 515199, 515200, 515201, 515202, 515203, 515204, 515205, 515207, 515208, 515210, 515211, 515216, 515218, 515219, 515220, 515221, 585236, 585238, 585239, 606535, 606536, 606540, 619216, 619217, 619218, 619220, 619221, 619222, 619223, 619224, 619225, 619226, 619228, 619231, 672820, 672822, 672827, 672828, 672830, 672831, 672832, 672833, 672835, 672837]
5416: Batelco;(6453: Tata Communications);14061: DigitalOcean;0;2.647;340;DigitalOcean;7.89;('IN', 230.529);('IN', 9);[141248, 203195, 203212, 329836, 329852, 377942, 377990, 515215, 672826]
5416: Batelco;(51375: stc Bahrain), (6453: Tata Communications), (4755: Tata Communications AS4755);14061: DigitalOcean;0;0.294;340;DigitalOcean;12.0;('IN', 68.0);('IN', 1);[266786]
5416: Batelco;(15412: Global Cloud Xchange (f.k.a. FLAG Telecom)), (6453: Tata Communications), (4755: Tata Communications AS4755);14061: DigitalOcean;0;0.294;340;DigitalOcean;8.0;('IN', 177.0);('IN', 1);[336656]
5416: Batelco;(59605: Zain Group - Wholesale), (6453: Tata Communications), (4755: Tata Communications AS4755);14061: DigitalOcean;0;0.294;340;DigitalOcean;9.0;('IN', 244.5);('IN', 1);[446315]
