source;intermediate;destination;with_ixp;percentage;total_paths;provider;avg_path_length;avg_latency;destination_countries;ids
174: Cogent Communications, Inc.;(3320: Deutsche Telekom);8075: Microsoft;0;100.0;7;Microsoft;8.43;('NL', 25.5),('FR', 44.667),('NO', 53.25);('FR', 3),('NO', 2),('NL', 2);[4810, 5050, 43554, 55870, 88897, 89052, 152681]
174: Cogent Communications, Inc.;(3320: Deutsche Telekom), (6453: Tata Communications);14061: DigitalOcean;0;100.0;2;DigitalOcean;7.5;('DE', 12.0),('NL', 49.0);('DE', 1),('NL', 1);[88630, 152403]
174: Cogent Communications, Inc.;(3320: Deutsche Telekom);15169: Google LLC;0;100.0;4;Google;9.5;('NL', 23.0),('CH', 27.5),('BE', 36.5);('CH', 2),('NL', 1),('BE', 1);[4151, 4276, 152176, 152301]
174: Cogent Communications, Inc.;(3320: Deutsche Telekom);16509: Amazon.com;0;100.0;5;Amazon EC2;9.0;('DE', 24.5),('FR', 37.5),('IT', 42.5),('IE', 50.5);('IE', 2),('FR', 1),('IT', 1),('DE', 1);[3937, 4061, 43199, 88394, 152145]
174: Cogent Communications, Inc.;(3320: Deutsche Telekom), (1299: Telia Carrier);31898: Oracle Cloud Infrastructure;0;100.0;3;Oracle;7.33;('CH', 17.0),('DE', 17.5);('DE', 2),('CH', 1);[6191, 44238, 89847]
174: Cogent Communications, Inc.;(3320: Deutsche Telekom), (2914: NTT Global IP Network);36351: SoftLayer Technologies, Inc. (an IBM Company);0;100.0;2;IBM;10.0;('DE', 32.5),('GB', 214.5);('GB', 1),('DE', 1);[44127, 89801]
174: Cogent Communications, Inc.;(3320: Deutsche Telekom), (1299: Telia Carrier);45102: Alibaba;0;100.0;2;Alibaba;8.0;('DE', 23.0),('GB', 46.0);('DE', 1),('GB', 1);[5479, 5669]
553: BelWue;(1299: Telia Carrier);14061: DigitalOcean;0;75.0;4;DigitalOcean;7.67;('NL', 17.5),('GB', 25.25);('GB', 2),('NL', 1);[4603, 278624, 278667]
553: BelWue; ;14061: DigitalOcean;1;25.0;4;DigitalOcean;5.0;('DE', 13.5);('DE', 1);[278491]
553: BelWue; ;15169: Google LLC;0;100.0;1;Google;7.0;('DE', 12.0);('DE', 1);[278390]
553: BelWue; ;16509: Amazon.com;1;100.0;1;Amazon EC2;10.0;('IT', 19.0);('IT', 1);[278356]
553: BelWue;(3356: Level 3 AS 3356);20473: Choopa, LLC;0;33.333;3;Vultr;5.0;('FR', 24.0);('FR', 1);[5347]
553: BelWue;(1299: Telia Carrier);20473: Choopa, LLC;0;33.333;3;Vultr;8.0;('NL', 21.5);('NL', 1);[279319]
553: BelWue; ;20473: Choopa, LLC;1;33.333;3;Vultr;5.0;('DE', 18.0);('DE', 1);[279130]
553: BelWue; ;36351: SoftLayer Technologies, Inc. (an IBM Company);1;50.0;2;IBM;8.0;('DE', 18.0);('DE', 1);[5780]
553: BelWue;(57154: Stadtwerke Konstanz), (60169: G-FIT);36351: SoftLayer Technologies, Inc. (an IBM Company);1;50.0;2;IBM;8.0;('DE', 26.5);('DE', 1);[528627]
553: BelWue;(1299: Telia Carrier);45102: Alibaba;0;66.667;3;Alibaba;9.5;('GB', 28.75);('GB', 2);[5686, 280073]
553: BelWue;(57154: Stadtwerke Konstanz), (60169: G-FIT), (1299: Telia Carrier);45102: Alibaba;0;33.333;3;Alibaba;10.0;('DE', 22.5);('DE', 1);[528595]
553: BelWue;(1299: Telia Carrier);63949: Linode AS63949;0;33.333;3;Linode;9.0;('GB', 29.5);('GB', 1);[5761]
553: BelWue; ;63949: Linode AS63949;1;33.333;3;Linode;6.0;('DE', 10.0);('DE', 1);[279082]
553: BelWue;(57154: Stadtwerke Konstanz), (60169: G-FIT);63949: Linode AS63949;1;33.333;3;Linode;6.0;('DE', 21.0);('DE', 1);[528542]
680: DFN Deutsches Forschungsnetz e.V.;(3320: Deutsche Telekom);15169: Google LLC;0;100.0;1;Google;11.0;('BE', 32.0);('BE', 1);[632290]
3209: Vodafone Germany; ;8075: Microsoft;0;90.813;664;Microsoft;9.58;('FR', 46.803),('CH', 48.351),('DE', 50.429),('GB', 52.369),('NL', 60.085),('IE', 67.271),('NO', 70.181);('DE', 134),('CH', 105),('NL', 90),('NO', 80),('IE', 66),('FR', 66),('GB', 62);[4430, 4432, 4435, 4637, 4641, 4649, 4656, 4657, 4659, 4662, 4664, 4666, 4670, 4672, 4766, 4767, 4769, 4772, 4774, 4777, 4778, 4780, 4783, 4790, 4793, 4794, 4796, 4797, 4805, 4822, 4827, 4836, 4837, 4852, 4873, 4884, 4895, 4897, 4902, 4905, 4917, 4919, 4920, 4922, 4923, 4935, 4944, 4951, 4953, 4954, 4955, 4964, 4968, 4982, 4991, 5011, 5015, 5023, 5038, 5047, 5068, 5072, 5096, 5105, 5109, 5127, 5128, 5140, 5150, 5153, 5158, 5165, 5170, 5185, 5201, 5202, 43506, 43512, 43523, 43536, 43542, 43551, 43558, 43564, 43569, 43570, 43571, 43572, 43573, 43582, 43583, 43592, 43595, 43610, 43611, 43612, 43617, 43619, 55744, 55748, 55750, 55752, 55753, 55756, 55758, 55759, 55761, 55763, 55765, 55772, 55775, 55783, 55785, 55789, 55800, 55815, 55816, 55817, 55826, 55830, 55842, 55843, 55845, 55857, 55860, 55869, 88865, 88875, 88883, 88888, 88892, 88896, 88898, 88904, 88905, 88909, 88910, 88925, 88933, 88941, 88942, 88943, 88944, 88945, 88949, 88952, 88958, 88979, 88980, 89000, 89003, 89008, 89016, 89020, 89030, 89034, 89039, 89062, 89089, 89091, 89094, 89110, 89130, 89134, 89144, 89147, 89156, 89161, 89166, 89176, 89179, 89184, 89204, 89208, 89221, 89222, 89223, 89225, 89232, 89233, 89234, 89235, 89238, 89240, 89241, 89261, 152581, 152582, 152586, 152590, 152597, 152606, 152620, 152628, 152632, 152633, 152639, 152643, 152648, 152649, 152653, 152655, 152673, 152678, 152679, 152683, 152690, 152695, 152697, 152705, 152709, 152711, 152712, 152713, 152714, 152729, 152730, 152736, 152740, 152742, 152746, 152750, 152768, 152771, 152774, 152775, 152777, 152781, 152783, 152787, 152788, 152790, 152793, 152794, 152800, 152806, 152819, 152833, 152840, 152843, 152844, 152851, 152860, 152885, 152892, 153025, 153026, 153027, 153036, 153039, 153040, 153043, 214585, 214588, 214591, 214595, 214596, 214597, 214604, 214607, 214609, 214610, 214614, 214619, 214621, 214624, 214625, 214627, 214628, 214631, 214636, 214638, 214640, 214642, 214646, 214649, 214653, 214656, 214661, 214664, 214670, 214684, 214687, 214689, 214690, 214695, 214706, 214710, 214713, 214723, 214726, 214731, 214735, 214742, 214744, 214746, 214748, 214751, 214753, 214765, 214771, 214772, 214775, 214790, 214801, 214803, 214813, 214817, 214824, 214825, 214839, 214841, 214845, 214854, 214855, 214857, 214862, 214869, 214871, 214872, 214878, 214882, 214884, 214896, 214900, 214903, 214908, 214910, 214912, 214916, 214929, 214931, 214935, 214939, 214945, 214967, 214971, 214976, 214986, 278563, 278568, 278579, 278582, 278804, 278810, 278811, 278817, 278820, 278831, 278839, 278849, 278857, 278863, 278865, 278868, 278869, 278873, 278877, 278883, 278884, 278885, 278889, 278898, 278900, 278901, 278902, 278914, 278923, 278925, 278926, 278940, 278941, 278954, 278956, 279145, 279159, 279170, 279176, 279190, 279247, 279250, 279327, 279363, 344008, 344012, 344016, 344019, 344022, 344192, 344206, 344207, 344224, 344234, 344244, 344250, 344258, 344283, 344287, 344301, 344302, 344304, 344320, 344356, 344373, 344375, 344378, 344382, 344384, 344396, 344399, 344408, 344435, 344438, 344446, 344448, 344450, 344452, 344457, 344458, 344471, 344472, 344473, 344474, 344478, 344479, 344485, 344500, 344503, 344513, 344514, 344515, 344516, 344532, 344548, 344554, 344556, 344563, 344573, 344582, 344583, 344588, 390803, 390814, 390830, 390831, 390833, 390835, 390837, 390842, 390846, 390850, 390854, 390871, 390875, 390892, 390902, 390944, 390970, 390971, 390981, 390996, 390998, 391002, 391005, 391008, 391009, 391011, 391021, 391024, 391034, 391036, 391054, 391076, 391080, 391088, 391092, 391098, 391101, 391132, 391140, 391152, 391155, 391162, 391276, 391285, 391304, 391313, 391324, 458781, 458785, 458802, 458803, 458816, 458820, 458827, 458858, 458864, 458865, 458867, 458891, 458918, 458936, 458970, 458971, 458973, 458974, 458977, 458978, 458980, 458984, 458994, 458997, 459006, 459016, 459021, 459032, 459034, 459046, 459058, 459059, 459061, 459072, 459082, 459097, 459111, 459112, 459144, 459145, 459249, 459250, 459262, 459263, 527434, 527437, 527438, 527441, 527444, 527451, 527475, 527487, 527511, 527516, 527525, 527527, 527552, 527559, 527569, 527580, 527593, 527594, 527597, 527617, 527653, 527665, 527672, 527689, 527693, 527697, 527701, 527702, 527714, 527719, 527720, 527722, 527736, 527744, 527773, 527780, 527787, 527792, 527793, 527802, 527817, 527820, 527829, 527832, 527845, 527849, 527859, 527863, 527871, 527899, 527916, 632804, 632809, 632813, 632814, 632901, 632929, 632946, 632947, 632951, 632955, 632958, 633009, 633022, 633028, 633042, 633044, 633048, 633051, 633052, 634407]
3209: Vodafone Germany;(3320: Deutsche Telekom);8075: Microsoft;0;4.97;664;Microsoft;9.18;('NL', 30.5),('IE', 44.5),('GB', 60.25),('FR', 70.833),('NO', 71.4),('DE', 75.571),('CH', 156.8);('FR', 9),('DE', 7),('CH', 5),('NO', 5),('GB', 4),('IE', 2),('NL', 1);[4832, 4929, 5191, 152857, 152901, 214807, 278793, 278798, 278833, 278847, 278929, 279238, 344506, 391267, 458917, 458965, 459266, 527650, 527661, 527742, 527766, 527774, 632794, 632943, 633047, 653211, 653802, 653824, 653838, 653969, 653985, 654007, 654102]
3209: Vodafone Germany;(8881: 1&1 Versatel Deutschland GmbH);8075: Microsoft;0;1.355;664;Microsoft;9.56;('GB', 40.0),('DE', 40.0),('NO', 47.125),('FR', 55.0),('IE', 102.0);('NO', 4),('FR', 2),('IE', 1),('GB', 1),('DE', 1);[214804, 214955, 278882, 458780, 458811, 458926, 459003, 459117, 527918]
3209: Vodafone Germany;(9158: Telenor Denmark);8075: Microsoft;0;0.452;664;Microsoft;11.33;('NL', 49.5),('GB', 62.5),('IE', 72.5);('IE', 1),('NL', 1),('GB', 1);[114645, 114651, 114656]
3209: Vodafone Germany;(6830: Liberty Global), (33915: Vodafone Libertel B.V.);8075: Microsoft;0;0.452;664;Microsoft;11.0;('CH', 24.5),('NO', 31.5);('NO', 2),('CH', 1);[642979, 643292, 643469]
3209: Vodafone Germany;(6830: Liberty Global);8075: Microsoft;0;0.301;664;Microsoft;11.0;('DE', 46.0),('NO', 52.5);('NO', 1),('DE', 1);[5066, 527795]
3209: Vodafone Germany;(6805: Telefónica Germany GmbH & Co. OHG);8075: Microsoft;0;0.301;664;Microsoft;7.0;('FR', 44.5),('DE', 204.0);('FR', 1),('DE', 1);[344275, 344477]
3209: Vodafone Germany;(25310: Vodafone (Access Network UK)), (1273: Vodafone Global Network);8075: Microsoft;0;0.151;664;Microsoft;8.0;('GB', 21.0);('GB', 1);[42008]
3209: Vodafone Germany;(199284: ThüringenDSL/encoLine), (201011: Unknown);8075: Microsoft;1;0.452;664;Microsoft;12.0;('CH', 43.75),('NO', 60.5);('CH', 2),('NO', 1);[527717, 527838, 527921]
3209: Vodafone Germany;(9145: EWETel);8075: Microsoft;1;0.301;664;Microsoft;7.5;('DE', 37.25);('DE', 2);[88987, 391038]
3209: Vodafone Germany; ;8075: Microsoft;1;0.151;664;Microsoft;12.0;('FR', 356.5);('FR', 1);[4890]
3209: Vodafone Germany;(8893: Artfiles New Media);8075: Microsoft;1;0.151;664;Microsoft;7.0;('DE', 18.5);('DE', 1);[391118]
3209: Vodafone Germany;(60294: Deutsche Glasfaser GmbH);8075: Microsoft;1;0.151;664;Microsoft;6.0;('DE', 22.5);('DE', 1);[527680]
