source;intermediate;destination;with_ixp;percentage;total_paths;provider;avg_path_length;avg_latency;destination_countries;ids
2497: Internet Initiative Japan Inc. (IIJ); ;8075: Microsoft;0;95.918;49;Microsoft;10.32;('JP', 55.023),('KR', 76.316),('HK', 105.333),('SG', 135.5),('IN', 167.5),('AE', 211.2);('JP', 22),('KR', 11),('IN', 5),('HK', 3),('SG', 3),('AE', 3);[135337, 135395, 135419, 135478, 135507, 135511, 198482, 198517, 198521, 198556, 198574, 198685, 260783, 260910, 261021, 323286, 323381, 323528, 371662, 371740, 371749, 371762, 371797, 371823, 371986, 372128, 372169, 440455, 442231, 442264, 579381, 579526, 579548, 579586, 599565, 599569, 599592, 599595, 599637, 599680, 599821, 599837, 600031, 600032, 600038, 600061, 600069]
2497: Internet Initiative Japan Inc. (IIJ);(2527: Sony Network Communications);8075: Microsoft;0;2.041;49;Microsoft;11.0;('KR', 83.5);('KR', 1);[599809]
2497: Internet Initiative Japan Inc. (IIJ);(131933: TAMA Television);8075: Microsoft;1;2.041;49;Microsoft;6.0;('JP', 77.0);('JP', 1);[599626]
2497: Internet Initiative Japan Inc. (IIJ);(6453: Tata Communications), (4755: Tata Communications AS4755);14061: DigitalOcean;0;92.857;14;DigitalOcean;12.0;('IN', 279.12);('IN', 13);[135184, 135187, 135210, 260698, 260699, 323206, 323221, 440385, 510880, 510887, 510905, 579343, 579365]
2497: Internet Initiative Japan Inc. (IIJ);(9997: Cable Net Suzuka Co.,Ltd.), (2497: Internet Initiative Japan Inc. (IIJ)), (6453: Tata Communications), (4755: Tata Communications AS4755);14061: DigitalOcean;0;7.143;14;DigitalOcean;14.0;('IN', 132.0);('IN', 1);[371616]
2497: Internet Initiative Japan Inc. (IIJ); ;15169: Google LLC;0;84.211;19;Google;9.5;('JP', 73.581);('JP', 16);[134902, 134997, 198194, 198242, 198268, 260415, 371304, 440130, 440153, 508674, 508803, 508811, 578921, 578930, 598987, 599002]
2497: Internet Initiative Japan Inc. (IIJ);(4713: NTT Communications Corporation (OCN));15169: Google LLC;0;5.263;19;Google;10.0;('TW', 76.0);('TW', 1);[199524]
2497: Internet Initiative Japan Inc. (IIJ);(131933: TAMA Television);15169: Google LLC;0;5.263;19;Google;10.0;('JP', 70.0);('JP', 1);[598776]
2497: Internet Initiative Japan Inc. (IIJ);(17676: SoftBank Corp.);15169: Google LLC;0;5.263;19;Google;12.0;('HK', 67.0);('HK', 1);[599038]
2497: Internet Initiative Japan Inc. (IIJ); ;16509: Amazon.com;1;75.0;48;Amazon EC2;9.53;('JP', 60.8),('KR', 97.167),('SG', 162.684),('IN', 216.333);('JP', 14),('SG', 10),('KR', 9),('IN', 3);[134574, 134734, 197888, 197895, 197912, 197916, 198010, 260280, 260295, 260312, 322584, 322639, 322641, 322775, 370996, 371018, 371022, 371023, 439864, 439908, 439909, 439926, 439934, 439936, 508481, 508488, 508590, 508737, 578667, 578703, 598486, 598493, 598514, 598515, 598605, 599248]
2497: Internet Initiative Japan Inc. (IIJ);(9997: Cable Net Suzuka Co.,Ltd.), (2497: Internet Initiative Japan Inc. (IIJ));16509: Amazon.com;1;2.083;48;Amazon EC2;12.0;('SG', 95.0);('SG', 1);[260151]
2497: Internet Initiative Japan Inc. (IIJ);(6453: Tata Communications);16509: Amazon.com;0;10.417;48;Amazon EC2;9.2;('HK', 123.2);('HK', 5);[198072, 322695, 371129, 598639, 598658]
2497: Internet Initiative Japan Inc. (IIJ);(2914: NTT Global IP Network);16509: Amazon.com;0;8.333;48;Amazon EC2;11.75;('HK', 163.25);('HK', 4);[134654, 134664, 260241, 508617]
2497: Internet Initiative Japan Inc. (IIJ); ;16509: Amazon.com;0;2.083;48;Amazon EC2;8.0;('IN', 331.0);('IN', 1);[198038]
2497: Internet Initiative Japan Inc. (IIJ);(9997: Cable Net Suzuka Co.,Ltd.), (2497: Internet Initiative Japan Inc. (IIJ)), (2914: NTT Global IP Network);16509: Amazon.com;0;2.083;48;Amazon EC2;13.0;('HK', 64.0);('HK', 1);[260271]
2497: Internet Initiative Japan Inc. (IIJ); ;20473: Choopa, LLC;0;60.0;15;Vultr;6.89;('JP', 36.333);('JP', 9);[135710, 135741, 261193, 372026, 440740, 440774, 509296, 600224, 600235]
2497: Internet Initiative Japan Inc. (IIJ);(2914: NTT Global IP Network);20473: Choopa, LLC;0;26.667;15;Vultr;10.0;('JP', 70.25);('JP', 4);[135683, 372101, 509352, 579703]
